"X","species_name","species_code","family","habitat","guild","year","proportion_in_east","mean_longitude","mean_latitude","CEI_ssp2_2050","LEI_ssp2_2050","CEI_ssp5_2050","LEI_ssp5_2050","CEI_ssp2_2080","LEI_ssp2_2080","CEI_ssp5_2080","LEI_ssp5_2080"
1,"Greater Prairie-Chicken","grpchi","Phasianidae","Grasslands","Ground Forager",2022,0.001,-89.444,43.205,3.836,0.456,4.26,0.472,3.281,0.496,5.355,0.515
2,"White-winged Dove","whwdov","Columbidae","Urban","Ground Forager",2022,0.001,-81.8,27.414,2.393,0.477,3.018,0.46,2.571,0.56,3.195,0.601
3,"Eurasian Collared-Dove","eucdov","Columbidae","Urban","Ground Forager",2022,0.001,-85.931,33.116,2.521,0.312,3.004,0.294,2.483,0.355,3.699,0.382
4,"Long-eared Owl","loeowl","Strigidae","Forests","Mammal Hunter",2022,0.001,-76.374,44.929,3.164,0.154,4.884,0.144,3.78,0.187,5.274,0.181
5,"Scissor-tailed Flycatcher","sctfly","Tyrannidae","Grasslands","Flycatcher",2022,0.001,-83.94,30.075,2.092,0.425,2.374,0.315,2.026,0.584,3.058,0.56
6,"Golden Eagle","goleag","Accipitridae","Grasslands","Mammal Hunter",2022,0.002,-81.872,41.209,3.066,0.183,4.057,0.17,3.278,0.201,5.332,0.216
7,"Sharp-tailed Grouse","shtgro","Phasianidae","Grasslands","Ground Forager",2022,0.002,-85.698,46.275,2.473,0.382,3.035,0.329,2.384,0.431,5.116,0.491
8,"Snail Kite","snakit","Accipitridae","Marshes","Aquatic Invertebrate Hunter",2022,0.002,-80.855,26.734,2.357,0.258,2.658,0.224,2.301,0.324,2.854,0.346
9,"Mangrove Cuckoo","mancuc","Cuculidae","Forests","Foliage Gleaner",2022,0.002,-81.269,25.584,2.274,0.096,2.737,0.12,2.427,0.113,2.266,0.185
10,"Cave Swallow","cavswa","Hirundinidae","Grasslands","Aerial Insectivore",2022,0.002,-80.407,26.65,1.599,0.249,1.643,0.279,1.505,0.301,3.053,0.411
