"Scenario","Structure","k","logLik","delta_AIC","weight","R2","R_square"
"SSP2 2050","habitat+lat+long",13,-24.65,0,0.51,0.57,0.57
"SSP2 2050","order+habitat+lat+long",14,-24.27,1.23,0.28,0.58,0.58
"SSP2 2050","guild+order+habitat+lat+long",20,-18.86,2.43,0.15,0.6,0.6
"SSP2 2050","guild+habitat+lat+long",19,-21.29,5.27,0.04,0.59,0.59
"SSP2 2050","lat+long",6,-35.63,7.96,0.01,0.53,0.53
"SSP2 2050","order+lat+long",7,-35.06,8.81,0.01,0.53,0.53
"SSP2 2050","guild+order+lat+long",13,-30.29,11.27,0,0.55,0.55
"SSP2 2050","order+habitat+lat+long",13,-30.88,12.46,0,0.55,0.55
"SSP2 2050","habitat+lat+long",12,-31.9,12.49,0,0.54,0.54
"SSP2 2050","guild+order+habitat+lat+long",19,-25.07,12.85,0,0.57,0.57
"SSP2 2050","guild+lat+long",12,-32.74,14.17,0,0.54,0.54
"SSP2 2050","guild+habitat+lat+long",18,-29.34,19.39,0,0.55,0.55
"SSP2 2050","order+lat+long",6,-44.71,26.11,0,0.48,0.48
"SSP2 2050","guild+order+lat+long",12,-38.84,26.37,0,0.51,0.51
"SSP2 2050","lat+long",5,-46.35,27.39,0,0.48,0.48
"SSP2 2050","guild+lat+long",11,-44.11,34.92,0,0.49,0.49
"SSP2 2050","habitat+lat+long",12,-48.02,44.74,0,0.47,0.47
"SSP2 2050","habitat+lat",11,-49.06,44.81,0,0.46,0.46
"SSP2 2050","guild+order+habitat+lat+long",19,-41.58,45.85,0,0.5,0.5
"SSP2 2050","guild+order+habitat+lat",18,-42.75,46.2,0,0.49,0.49
"SSP2 2050","order+habitat+lat+long",13,-47.9,46.5,0,0.47,0.47
"SSP2 2050","order+habitat+lat",12,-48.93,46.55,0,0.46,0.46
"SSP2 2050","guild+habitat+lat+long",18,-43.59,47.89,0,0.49,0.49
"SSP2 2050","guild+habitat+lat",17,-44.89,48.48,0,0.48,0.48
"SSP2 2050","lat+long",5,-57.1,48.9,0,0.42,0.42
"SSP2 2050","order+lat+long",6,-56.74,50.17,0,0.42,0.42
"SSP2 2050","guild+order+lat+long",12,-51.64,51.98,0,0.45,0.45
"SSP2 2050","guild+lat+long",11,-53.68,54.05,0,0.44,0.44
"SSP2 2050","lat",4,-62.67,58.03,0,0.39,0.39
"SSP2 2050","order+lat",5,-62.23,59.16,0,0.39,0.39
"SSP2 2050","guild+order+lat",11,-57.23,61.16,0,0.42,0.42
"SSP2 2050","guild+order+habitat+lat",17,-51.79,62.27,0,0.45,0.45
"SSP2 2050","habitat+lat",10,-59.17,63.03,0,0.41,0.41
"SSP2 2050","order+habitat+lat",11,-58.45,63.59,0,0.41,0.41
"SSP2 2050","guild+order+habitat+lat+long",18,-51.64,63.97,0,0.45,0.45
"SSP2 2050","guild+lat",10,-59.68,64.07,0,0.41,0.41
"SSP2 2050","habitat+lat+long",11,-58.86,64.41,0,0.41,0.41
"SSP2 2050","order+habitat+lat+long",12,-58.19,65.09,0,0.42,0.42
"SSP2 2050","guild+habitat+lat",16,-56.14,68.98,0,0.43,0.43
"SSP2 2050","guild+habitat+lat+long",17,-55.89,70.48,0,0.43,0.43
"SSP2 2050","habitat+long",11,-63.23,73.15,0,0.39,0.39
"SSP2 2050","order+habitat+long",12,-63.03,74.77,0,0.39,0.39
"SSP2 2050","order+lat",4,-71.88,76.46,0,0.33,0.33
"SSP2 2050","guild+order+lat",10,-66.12,76.94,0,0.37,0.37
"SSP2 2050","order+lat+long",5,-71.27,77.25,0,0.34,0.34
"SSP2 2050","lat",3,-73.31,77.32,0,0.33,0.33
"SSP2 2050","guild+order+lat+long",11,-65.4,77.51,0,0.37,0.37
"SSP2 2050","lat+long",4,-72.79,78.29,0,0.33,0.33
"SSP2 2050","guild+order+habitat+long",18,-60.73,82.16,0,0.4,0.4
"SSP2 2050","guild+habitat+long",17,-62.18,83.05,0,0.39,0.39
"SSP2 2050","guild+lat",9,-71.46,85.62,0,0.34,0.34
"SSP2 2050","guild+lat+long",10,-70.92,86.54,0,0.34,0.34
"SSP2 2050","long",4,-79.57,91.85,0,0.28,0.28
"SSP2 2050","order+long",5,-79.23,93.15,0,0.29,0.29
"SSP2 2050","guild+order+long",11,-76.51,99.72,0,0.3,0.3
"SSP2 2050","guild+long",10,-77.95,100.61,0,0.3,0.3
"SSP2 2050","habitat+long",10,-100.15,144.99,0,0.13,0.13
"SSP2 2050","habitat",9,-101.71,146.11,0,0.12,0.12
"SSP2 2050","order+habitat+long",11,-100.13,146.95,0,0.13,0.13
"SSP2 2050","order+habitat",10,-101.66,148.03,0,0.12,0.12
"SSP2 2050","guild+order+habitat+long",17,-96.48,151.66,0,0.16,0.16
"SSP2 2050","guild+habitat+long",16,-97.75,152.21,0,0.15,0.15
"SSP2 2050","guild+order+habitat",16,-97.79,152.27,0,0.15,0.15
"SSP2 2050","guild+habitat",15,-99.17,153.03,0,0.14,0.14
"SSP2 2050","",2,-115.03,158.76,0,0,0
"SSP2 2050","long",3,-114.79,160.28,0,0,0
"SSP2 2050","order",3,-114.8,160.29,0,0,0
"SSP2 2050","order+long",4,-114.57,161.84,0,0,0
"SSP2 2050","guild+order",9,-112.17,167.03,0,0.03,0.03
"SSP2 2050","guild",8,-113.57,167.84,0,0.01,0.01
"SSP2 2050","guild+order+long",10,-112.02,168.74,0,0.03,0.03
"SSP2 2050","guild+long",9,-113.41,169.52,0,0.02,0.02
"SSP2 2080","habitat+lat+long",13,-15.6,0,0.64,0.68,0.68
"SSP2 2080","order+habitat+lat+long",14,-15.22,1.24,0.34,0.68,0.68
"SSP2 2080","guild+order+habitat+lat+long",20,-12.58,7.96,0.01,0.69,0.69
"SSP2 2080","guild+habitat+lat+long",19,-13.8,8.39,0.01,0.69,0.69
"SSP2 2080","lat+long",6,-32.4,19.59,0,0.63,0.63
"SSP2 2080","order+lat+long",7,-31.69,20.17,0,0.63,0.63
"SSP2 2080","guild+order+lat+long",13,-28.9,26.59,0,0.64,0.64
"SSP2 2080","guild+lat+long",12,-30.51,27.81,0,0.63,0.63
"SSP2 2080","order+habitat+lat+long",13,-30.89,30.57,0,0.63,0.63
"SSP2 2080","habitat+lat+long",12,-32.29,31.37,0,0.63,0.63
"SSP2 2080","guild+order+habitat+lat+long",19,-27.72,36.23,0,0.64,0.64
"SSP2 2080","guild+habitat+lat+long",18,-31.15,41.09,0,0.63,0.63
"SSP2 2080","habitat+lat+long",12,-42.84,52.48,0,0.59,0.59
"SSP2 2080","habitat+lat",11,-43.86,52.52,0,0.59,0.59
"SSP2 2080","order+habitat+lat+long",13,-42.74,54.27,0,0.59,0.59
"SSP2 2080","order+habitat+lat",12,-43.76,54.32,0,0.59,0.59
"SSP2 2080","order+lat+long",6,-51.89,58.57,0,0.55,0.55
"SSP2 2080","guild+habitat+lat",17,-41.06,58.92,0,0.6,0.6
"SSP2 2080","guild+order+habitat+lat",18,-40.17,59.12,0,0.6,0.6
"SSP2 2080","guild+habitat+lat+long",18,-40.22,59.23,0,0.6,0.6
"SSP2 2080","guild+order+habitat+lat+long",19,-39.23,59.25,0,0.6,0.6
"SSP2 2080","lat+long",5,-54.26,61.32,0,0.54,0.54
"SSP2 2080","guild+order+lat+long",12,-47.38,61.56,0,0.57,0.57
"SSP2 2080","lat",4,-56.1,62.99,0,0.54,0.54
"SSP2 2080","order+lat",5,-55.64,64.08,0,0.54,0.54
"SSP2 2080","lat+long",5,-55.97,64.73,0,0.54,0.54
"SSP2 2080","order+lat+long",6,-55.53,65.85,0,0.54,0.54
"SSP2 2080","guild+lat+long",11,-52.55,69.89,0,0.55,0.55
"SSP2 2080","guild+order+lat",11,-52.93,70.65,0,0.55,0.55
"SSP2 2080","guild+lat",10,-54.32,71.44,0,0.54,0.54
"SSP2 2080","guild+order+lat+long",12,-52.76,72.31,0,0.55,0.55
"SSP2 2080","guild+lat+long",11,-54.07,72.94,0,0.54,0.54
"SSP2 2080","habitat+lat+long",11,-63.29,91.37,0,0.5,0.5
"SSP2 2080","order+habitat+lat+long",12,-62.4,91.59,0,0.51,0.51
"SSP2 2080","guild+order+habitat+lat+long",18,-58.74,96.28,0,0.52,0.52
"SSP2 2080","guild+habitat+lat+long",17,-62.19,101.17,0,0.51,0.51
"SSP2 2080","habitat+long",11,-71.93,108.65,0,0.46,0.46
"SSP2 2080","order+habitat+lat",11,-72.08,108.96,0,0.46,0.46
"SSP2 2080","habitat+lat",10,-73.31,109.42,0,0.45,0.45
"SSP2 2080","order+habitat+long",12,-71.68,110.15,0,0.46,0.46
"SSP2 2080","guild+order+habitat+lat",17,-67.92,112.63,0,0.48,0.48
"SSP2 2080","order+lat+long",5,-81.04,114.87,0,0.41,0.41
"SSP2 2080","lat+long",4,-83.14,117.08,0,0.4,0.4
"SSP2 2080","guild+habitat+lat",16,-71.72,118.24,0,0.46,0.46
"SSP2 2080","guild+order+lat+long",11,-77.2,119.2,0,0.43,0.43
"SSP2 2080","order+lat",4,-84.22,119.24,0,0.39,0.39
"SSP2 2080","guild+habitat+long",17,-71.24,119.27,0,0.46,0.46
"SSP2 2080","guild+order+habitat+long",18,-70.39,119.57,0,0.47,0.47
"SSP2 2080","lat",3,-86.5,121.8,0,0.38,0.38
"SSP2 2080","guild+order+lat",10,-80.04,122.88,0,0.42,0.42
"SSP2 2080","guild+lat+long",10,-82.56,127.92,0,0.4,0.4
"SSP2 2080","guild+lat",9,-85.56,131.91,0,0.39,0.39
"SSP2 2080","long",4,-93.22,137.24,0,0.34,0.34
"SSP2 2080","order+long",5,-92.67,138.14,0,0.34,0.34
"SSP2 2080","guild+order+long",11,-89.63,144.06,0,0.36,0.36
"SSP2 2080","guild+long",10,-90.85,144.49,0,0.35,0.35
"SSP2 2080","habitat+long",10,-112.43,187.66,0,0.21,0.21
"SSP2 2080","order+habitat+long",11,-112.4,189.6,0,0.21,0.21
"SSP2 2080","guild+habitat+long",16,-110.74,196.27,0,0.22,0.22
"SSP2 2080","guild+order+habitat+long",17,-109.96,196.72,0,0.23,0.23
"SSP2 2080","habitat",9,-123.67,208.13,0,0.12,0.12
"SSP2 2080","long",3,-130.52,209.83,0,0.06,0.06
"SSP2 2080","order+habitat",10,-123.55,209.88,0,0.12,0.12
"SSP2 2080","order+long",4,-130.17,211.13,0,0.07,0.07
"SSP2 2080","guild+habitat",15,-121.47,215.73,0,0.14,0.14
"SSP2 2080","guild+order+habitat",16,-120.49,215.78,0,0.15,0.15
"SSP2 2080","guild+order+long",10,-127.95,218.68,0,0.08,0.08
"SSP2 2080","guild+long",9,-129.13,219.06,0,0.07,0.07
"SSP2 2080","",2,-137.31,221.42,0,0,0
"SSP2 2080","order",3,-136.9,222.59,0,0,0
"SSP2 2080","guild+order",9,-133.85,228.49,0,0.03,0.03
"SSP2 2080","guild",8,-135.06,228.92,0,0.02,0.02
"SSP5 2050","habitat+lat+long",13,-65.2,0,0.68,0.72,0.72
"SSP5 2050","order+habitat+lat+long",14,-65.03,1.66,0.29,0.72,0.72
"SSP5 2050","guild+habitat+lat+long",19,-63.02,7.65,0.01,0.73,0.73
"SSP5 2050","guild+order+habitat+lat+long",20,-62.15,7.9,0.01,0.73,0.73
"SSP5 2050","lat+long",6,-80.3,16.19,0,0.68,0.68
"SSP5 2050","order+lat+long",7,-79.87,17.34,0,0.68,0.68
"SSP5 2050","guild+order+lat+long",13,-76.52,22.64,0,0.69,0.69
"SSP5 2050","guild+lat+long",12,-77.81,23.22,0,0.69,0.69
"SSP5 2050","habitat+lat+long",12,-81.52,30.63,0,0.68,0.68
"SSP5 2050","order+habitat+lat+long",13,-80.54,30.68,0,0.68,0.68
"SSP5 2050","guild+order+habitat+lat+long",19,-77.15,35.89,0,0.69,0.69
"SSP5 2050","guild+habitat+lat+long",18,-80.01,39.62,0,0.68,0.68
"SSP5 2050","order+lat+long",6,-99.59,54.78,0,0.62,0.62
"SSP5 2050","lat+long",5,-101.45,56.49,0,0.61,0.61
"SSP5 2050","guild+order+lat+long",12,-94.62,56.84,0,0.63,0.63
"SSP5 2050","habitat+lat+long",12,-96.08,59.76,0,0.63,0.63
"SSP5 2050","habitat+lat",11,-97.51,60.61,0,0.62,0.62
"SSP5 2050","order+habitat+lat+long",13,-96.07,61.73,0,0.63,0.63
"SSP5 2050","order+habitat+lat",12,-97.5,62.59,0,0.62,0.62
"SSP5 2050","guild+lat+long",11,-99.2,64,0,0.62,0.62
"SSP5 2050","guild+habitat+lat+long",18,-93.1,65.79,0,0.64,0.64
"SSP5 2050","lat",4,-107.28,66.15,0,0.59,0.59
"SSP5 2050","guild+habitat+lat",17,-94.34,66.27,0,0.63,0.63
"SSP5 2050","guild+order+habitat+lat+long",19,-92.4,66.4,0,0.64,0.64
"SSP5 2050","guild+order+habitat+lat",18,-93.73,67.07,0,0.64,0.64
"SSP5 2050","order+lat",5,-107.04,67.68,0,0.59,0.59
"SSP5 2050","lat+long",5,-107.27,68.15,0,0.59,0.59
"SSP5 2050","order+lat+long",6,-107.04,69.68,0,0.59,0.59
"SSP5 2050","guild+order+lat",11,-104.01,73.61,0,0.6,0.6
"SSP5 2050","guild+lat",10,-105.05,73.69,0,0.6,0.6
"SSP5 2050","guild+order+lat+long",12,-103.99,75.58,0,0.6,0.6
"SSP5 2050","guild+lat+long",11,-105.01,75.62,0,0.6,0.6
"SSP5 2050","habitat+lat+long",11,-116.08,97.76,0,0.55,0.55
"SSP5 2050","order+habitat+lat+long",12,-115.51,98.61,0,0.55,0.55
"SSP5 2050","guild+order+habitat+lat+long",18,-111.74,103.08,0,0.57,0.57
"SSP5 2050","guild+habitat+lat+long",17,-114.65,106.9,0,0.56,0.56
"SSP5 2050","order+lat+long",5,-132.05,117.69,0,0.48,0.48
"SSP5 2050","habitat+lat",10,-127.14,117.87,0,0.5,0.5
"SSP5 2050","order+habitat+lat",11,-126.26,118.11,0,0.51,0.51
"SSP5 2050","lat+long",4,-133.69,118.97,0,0.47,0.47
"SSP5 2050","guild+order+habitat+lat",17,-122,121.59,0,0.53,0.53
"SSP5 2050","guild+order+lat+long",11,-128.07,121.73,0,0.5,0.5
"SSP5 2050","order+lat",4,-136.35,124.29,0,0.46,0.46
"SSP5 2050","lat",3,-138.17,125.93,0,0.45,0.45
"SSP5 2050","guild+habitat+lat",16,-125.26,126.12,0,0.51,0.51
"SSP5 2050","guild+order+lat",10,-131.9,127.4,0,0.48,0.48
"SSP5 2050","guild+lat+long",10,-132.84,129.28,0,0.47,0.47
"SSP5 2050","habitat+long",11,-134.68,134.95,0,0.47,0.47
"SSP5 2050","guild+lat",9,-136.83,135.26,0,0.45,0.45
"SSP5 2050","order+habitat+long",12,-134.62,136.84,0,0.47,0.47
"SSP5 2050","guild+habitat+long",17,-133.91,145.42,0,0.47,0.47
"SSP5 2050","guild+order+habitat+long",18,-133.51,146.62,0,0.47,0.47
"SSP5 2050","long",4,-153.59,158.77,0,0.36,0.36
"SSP5 2050","order+long",5,-153.38,160.35,0,0.36,0.36
"SSP5 2050","guild+long",10,-150.82,165.24,0,0.38,0.38
"SSP5 2050","guild+order+long",11,-150.2,165.99,0,0.38,0.38
"SSP5 2050","habitat+long",10,-177.32,218.24,0,0.2,0.2
"SSP5 2050","order+habitat+long",11,-177.32,220.23,0,0.2,0.2
"SSP5 2050","guild+habitat+long",16,-175.42,226.44,0,0.21,0.21
"SSP5 2050","guild+order+habitat+long",17,-175.01,227.62,0,0.22,0.22
"SSP5 2050","long",3,-192.91,235.42,0,0.07,0.07
"SSP5 2050","order+long",4,-192.79,237.18,0,0.07,0.07
"SSP5 2050","habitat",9,-188.93,239.45,0,0.11,0.11
"SSP5 2050","order+habitat",10,-188.91,241.41,0,0.11,0.11
"SSP5 2050","guild+long",9,-191.28,244.16,0,0.09,0.09
"SSP5 2050","guild+order+long",10,-190.6,244.8,0,0.09,0.09
"SSP5 2050","guild+habitat",15,-186.58,246.76,0,0.13,0.13
"SSP5 2050","guild+order+habitat",16,-186.01,247.61,0,0.13,0.13
"SSP5 2050","",2,-200.98,249.56,0,0,0
"SSP5 2050","order",3,-200.81,251.21,0,0,0
"SSP5 2050","guild",8,-198.33,256.26,0,0.02,0.02
"SSP5 2050","guild+order",9,-197.62,256.83,0,0.03,0.03
"SSP5 2080","habitat+lat+long",13,-91.19,0,0.51,0.84,0.84
"SSP5 2080","order+habitat+lat+long",14,-90.25,0.11,0.48,0.84,0.84
"SSP5 2080","guild+habitat+lat+long",19,-89.43,8.46,0.01,0.84,0.84
"SSP5 2080","guild+order+habitat+lat+long",20,-88.94,9.5,0,0.84,0.84
"SSP5 2080","order+habitat+lat",12,-104.67,24.96,0,0.82,0.82
"SSP5 2080","habitat+lat",11,-105.82,25.25,0,0.82,0.82
"SSP5 2080","order+habitat+lat+long",13,-104.65,26.92,0,0.82,0.82
"SSP5 2080","habitat+lat+long",12,-105.8,27.22,0,0.82,0.82
"SSP5 2080","lat+long",6,-112.24,28.1,0,0.81,0.81
"SSP5 2080","order+lat+long",7,-112.19,29.99,0,0.81,0.81
"SSP5 2080","guild+habitat+lat",17,-104.09,33.79,0,0.82,0.82
"SSP5 2080","guild+order+habitat+lat",18,-103.69,35,0,0.82,0.82
"SSP5 2080","guild+habitat+lat+long",18,-104.09,35.78,0,0.82,0.82
"SSP5 2080","guild+order+habitat+lat+long",19,-103.69,36.99,0,0.82,0.82
"SSP5 2080","guild+lat+long",12,-110.76,37.13,0,0.81,0.81
"SSP5 2080","guild+order+lat+long",13,-110.75,39.11,0,0.81,0.81
"SSP5 2080","habitat+lat+long",12,-112.52,40.65,0,0.81,0.81
"SSP5 2080","order+habitat+lat+long",13,-112.49,42.59,0,0.81,0.81
"SSP5 2080","guild+habitat+lat+long",18,-110.03,47.68,0,0.81,0.81
"SSP5 2080","guild+order+habitat+lat+long",19,-109.94,49.5,0,0.81,0.81
"SSP5 2080","lat+long",5,-124.82,51.26,0,0.78,0.78
"SSP5 2080","order+lat+long",6,-124.74,53.1,0,0.78,0.78
"SSP5 2080","lat",4,-127.48,54.57,0,0.78,0.78
"SSP5 2080","order+lat",5,-127.42,56.46,0,0.78,0.78
"SSP5 2080","guild+lat+long",11,-123.9,61.42,0,0.78,0.78
"SSP5 2080","guild+order+lat+long",12,-123.89,63.4,0,0.78,0.78
"SSP5 2080","guild+lat",10,-126.62,64.85,0,0.78,0.78
"SSP5 2080","guild+order+lat",11,-126.57,66.76,0,0.78,0.78
"SSP5 2080","habitat+lat+long",11,-130.97,75.56,0,0.77,0.77
"SSP5 2080","order+habitat+lat+long",12,-130.92,77.46,0,0.77,0.77
"SSP5 2080","lat+long",5,-139.89,81.4,0,0.75,0.75
"SSP5 2080","order+lat+long",6,-139.44,82.49,0,0.75,0.75
"SSP5 2080","habitat+lat",10,-136.15,83.91,0,0.76,0.76
"SSP5 2080","guild+habitat+lat+long",17,-129.27,84.15,0,0.77,0.77
"SSP5 2080","guild+order+habitat+lat+long",18,-129.04,85.69,0,0.77,0.77
"SSP5 2080","order+habitat+lat",11,-136.14,85.9,0,0.76,0.76
"SSP5 2080","guild+order+lat+long",12,-135.44,86.49,0,0.76,0.76
"SSP5 2080","guild+lat+long",11,-137.2,88.02,0,0.75,0.75
"SSP5 2080","guild+habitat+lat",16,-134.51,92.62,0,0.76,0.76
"SSP5 2080","guild+order+habitat+lat",17,-134.14,93.9,0,0.76,0.76
"SSP5 2080","lat",3,-158.47,114.55,0,0.7,0.7
"SSP5 2080","lat+long",4,-157.75,115.11,0,0.7,0.7
"SSP5 2080","order+lat",4,-157.92,115.45,0,0.7,0.7
"SSP5 2080","order+lat+long",5,-157.25,116.12,0,0.7,0.7
"SSP5 2080","guild+order+lat",10,-154.95,121.51,0,0.71,0.71
"SSP5 2080","guild+order+lat+long",11,-154.39,122.39,0,0.71,0.71
"SSP5 2080","guild+lat",9,-157.25,124.12,0,0.7,0.7
"SSP5 2080","guild+lat+long",10,-156.61,124.84,0,0.71,0.71
"SSP5 2080","habitat+long",11,-242.62,298.85,0,0.34,0.34
"SSP5 2080","order+habitat+long",12,-241.97,299.55,0,0.34,0.34
"SSP5 2080","guild+habitat+long",17,-240.44,306.49,0,0.35,0.35
"SSP5 2080","guild+order+habitat+long",18,-239.91,307.44,0,0.35,0.35
"SSP5 2080","long",4,-258.41,316.43,0,0.23,0.23
"SSP5 2080","order+long",5,-258.25,318.11,0,0.23,0.23
"SSP5 2080","guild+long",10,-254.26,320.14,0,0.26,0.26
"SSP5 2080","guild+order+long",11,-254.12,321.86,0,0.26,0.26
"SSP5 2080","habitat+long",10,-267.26,346.13,0,0.16,0.16
"SSP5 2080","order+habitat+long",11,-266.43,346.47,0,0.17,0.17
"SSP5 2080","guild+habitat+long",16,-264.4,352.42,0,0.18,0.18
"SSP5 2080","guild+order+habitat+long",17,-264.1,353.81,0,0.19,0.19
"SSP5 2080","habitat",9,-272.89,355.4,0,0.12,0.12
"SSP5 2080","order+habitat",10,-272.32,356.26,0,0.12,0.12
"SSP5 2080","long",3,-281.86,361.34,0,0.04,0.04
"SSP5 2080","guild+habitat",15,-269.98,361.57,0,0.14,0.14
"SSP5 2080","order+long",4,-281.72,363.05,0,0.04,0.04
"SSP5 2080","guild+order+habitat",16,-269.79,363.2,0,0.14,0.14
"SSP5 2080","guild+long",9,-278.7,367.02,0,0.07,0.07
"SSP5 2080","",2,-286.05,367.72,0,0,0
"SSP5 2080","guild+order+long",10,-278.67,368.95,0,0.07,0.07
"SSP5 2080","order",3,-285.95,369.52,0,0,0
"SSP5 2080","guild",8,-282.3,372.22,0,0.03,0.03
"SSP5 2080","guild+order",9,-282.28,374.17,0,0.03,0.03
