"Response","Scenario","Model_Structure","delta_AIC","Term","Estimate","SE","t","p_value"
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"(Intercept)",-8.31186051644639,1.61941101964266,-5.13264416236991,6.74516042866572e-07
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"habitatGeneralist",0.0291831670332238,0.0257084353717319,1.13515920402191,0.257667187409322
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"habitatGrasslands",0.0291578358180993,0.0142612605346392,2.04454828851052,0.042209584743654
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"habitatMarshes",0.0356838821167813,0.0238205405362227,1.49802990668993,0.135702107103111
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"habitatOpen Woodlands",0.0252702270701906,0.0119083200150089,2.1220648284847,0.0350628269157426
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"habitatRiparian",0.0368011915117758,0.0241259934414453,1.52537517682303,0.128745319030637
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"habitatScrub",0.0417748253863021,0.0163544856449477,2.55433440667131,0.0113833477463446
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"habitatUrban",0.0603717950993968,0.0208832922398288,2.89091367424601,0.00426567984169344
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"mean_latitude",0.0927368395358102,0.0113190651858612,8.19297689456273,2.99348568290999e-14
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"I(mean_latitude^2)",-0.0013019359876154,0.00015704780104043,-8.29006187281937,1.63343736913857e-14
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"mean_longitude",-0.162580957030067,0.0401614764743624,-4.04818177274564,7.37599052828036e-05
"LEI","SSP2 2050","habitat+lat+long",-578.222533778025,"I(mean_longitude^2)",-0.00094881415548651,0.000246019691545736,-3.85665939797393,0.000154947254995384
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"(Intercept)",-8.25855052761693,1.60332375263778,-5.15089389403108,6.16596300266081e-07
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"guildBark Forager",-0.0290581302134459,0.0233168991372722,-1.24622618309466,0.214131872864006
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"guildFlycatcher",0.00755198264270718,0.0238533070351513,0.31660107470961,0.751874886245948
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"guildFoliage Gleaner",-0.0173226716649402,0.0192400838464597,-0.900342836506283,0.369015274603642
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"guildGeneralist",0.0336798233270393,0.0308044263328923,1.09334363065469,0.275551555404581
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"guildGround Forager",0.00855568907712454,0.0189578169470875,0.451301386705233,0.652258876262654
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"guildVertebrate Hunter",-0.0151096723793552,0.0214632527174169,-0.70397868292787,0.482260804524726
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"mean_latitude",0.0883316683938526,0.0111301906510765,7.93622240292074,1.4358609508118e-13
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"I(mean_latitude^2)",-0.00125074566125236,0.000154424849475917,-8.09938080235858,5.25070321450937e-14
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"mean_longitude",-0.162169766648222,0.039877728717799,-4.06667510569223,6.84423505369128e-05
"LEI","SSP2 2050","guild+lat+long",-576.725626797782,"I(mean_longitude^2)",-0.000934721228662326,0.000243313435342383,-3.84163425807957,0.00016381914187916
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"(Intercept)",-8.31190531440157,1.62414649914202,-5.11770663471089,7.26321410911609e-07
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"orderPasserine",9.54613356463097e-06,0.00995274721337891,0.000959145586637491,0.999235673471348
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"habitatGeneralist",0.0291839610339962,0.0257862397029366,1.13176490136608,0.259095245317965
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"habitatGrasslands",0.0291588454252815,0.0143357444480186,2.03399589962081,0.043279182717074
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"habitatMarshes",0.0356812995614668,0.0240316326111666,1.48476385848571,0.139188687394234
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"habitatOpen Woodlands",0.0252689877141546,0.0120079277725245,2.10435873639854,0.0366027012980333
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"habitatRiparian",0.0368001914742227,0.0242089980062025,1.52010386653732,0.130072119950553
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"habitatScrub",0.0417725087145497,0.0165724825752041,2.52059451714556,0.0125007178017904
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"habitatUrban",0.0603743116613728,0.0210994666839155,2.86141410898302,0.00466826911563988
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"mean_latitude",0.092735036603581,0.0115021057399686,8.06243993057173,6.85066900583271e-14
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"I(mean_latitude^2)",-0.00130191199910805,0.000159416015382628,-8.16675787550715,3.59308627318601e-14
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"mean_longitude",-0.162582695035704,0.0403030135862971,-4.03400839214121,7.81287532113702e-05
"LEI","SSP2 2050","order+habitat+lat+long",-576.222534758083,"I(mean_longitude^2)",-0.000948824718879191,0.000246882828700632,-3.84321876038503,0.000163296055540594
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"(Intercept)",-9.84755647562892,1.9881533348419,-4.95311719828289,1.55062011157045e-06
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"habitatGeneralist",0.0403112793796154,0.0315622846194753,1.2771977651688,0.203013154619372
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"habitatGrasslands",0.0397303864738846,0.0175085709230562,2.26919642091209,0.0243235309041707
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"habitatMarshes",0.0559859114076204,0.0292445133016807,1.9144073566922,0.056995408096716
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"habitatOpen Woodlands",0.0307581727698463,0.0146198623221847,2.10386199897195,0.0366402421674067
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"habitatRiparian",0.0492520108218058,0.029619518291019,1.66282281628934,0.0979142250695247
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"habitatScrub",0.0495986854632445,0.0200784265268256,2.4702476260766,0.0143390500639446
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"habitatUrban",0.0675892325664916,0.0256384491679299,2.63624496644814,0.00904076763022501
"LEI","SSP2 2080","habitat+lat+long",-491.241596308665,"mean_latitude",0.112723163967533,0.0138964332856823,8.1116615789228,4.95903977843876e-14
